time,temperature_2m_max,temperature_2m_min,precipitation_sum,date,year,month
2024-07-29,23.0,13.1,0.0,2024-07-29,2024,7
2024-07-30,26.2,11.6,0.0,2024-07-30,2024,7
2024-07-31,28.4,15.2,0.0,2024-07-31,2024,7
2024-08-01,26.5,16.5,0.0,2024-08-01,2024,8
2024-08-02,21.0,16.8,0.0,2024-08-02,2024,8
2024-08-03,24.4,13.9,0.0,2024-08-03,2024,8
2024-08-04,22.8,16.5,7.5,2024-08-04,2024,8
2024-08-05,22.1,14.2,0.1,2024-08-05,2024,8
2024-08-06,25.0,12.2,0.0,2024-08-06,2024,8
2024-08-07,28.8,15.9,0.0,2024-08-07,2024,8
2024-08-08,23.4,16.9,0.5,2024-08-08,2024,8
2024-08-09,25.5,14.6,3.1,2024-08-09,2024,8
2024-08-10,26.1,15.5,0.0,2024-08-10,2024,8
2024-08-11,25.0,16.3,0.0,2024-08-11,2024,8
2024-08-12,26.8,12.8,0.0,2024-08-12,2024,8
2024-08-13,29.9,15.2,0.0,2024-08-13,2024,8
2024-08-14,32.9,19.0,1.6,2024-08-14,2024,8
2024-08-15,28.0,19.9,2.1,2024-08-15,2024,8
2024-08-16,29.1,17.0,0.0,2024-08-16,2024,8
2024-08-17,29.4,18.8,0.0,2024-08-17,2024,8
2024-08-18,24.5,16.6,0.1,2024-08-18,2024,8
2024-08-19,22.8,15.9,0.0,2024-08-19,2024,8
2024-08-20,27.2,13.1,0.2,2024-08-20,2024,8
2024-08-21,23.0,15.1,0.7,2024-08-21,2024,8
2024-08-22,24.7,14.2,0.0,2024-08-22,2024,8
2024-08-23,30.5,16.7,0.0,2024-08-23,2024,8
2024-08-24,31.8,17.1,0.0,2024-08-24,2024,8
2024-08-25,25.5,15.7,0.0,2024-08-25,2024,8
2024-08-26,25.0,15.2,0.0,2024-08-26,2024,8
2024-08-27,26.7,12.8,0.0,2024-08-27,2024,8
2024-08-28,30.2,16.2,0.0,2024-08-28,2024,8
2024-08-29,34.1,20.6,0.0,2024-08-29,2024,8
2024-08-30,28.0,17.0,2.4,2024-08-30,2024,8
2024-08-31,23.5,15.2,0.0,2024-08-31,2024,8
2025-05-01,25.9,9.5,0.0,2025-05-01,2025,5
2025-05-02,27.5,13.6,0.6,2025-05-02,2025,5
2025-05-03,19.0,10.9,1.0,2025-05-03,2025,5
2025-05-04,14.6,8.1,0.5,2025-05-04,2025,5
2025-05-05,13.2,4.1,0.0,2025-05-05,2025,5
2025-05-06,15.9,1.9,0.0,2025-05-06,2025,5
2025-05-07,15.4,5.6,0.0,2025-05-07,2025,5
2025-05-08,15.6,4.9,0.0,2025-05-08,2025,5
2025-05-09,18.7,5.3,0.0,2025-05-09,2025,5
2025-05-10,17.7,9.8,0.1,2025-05-10,2025,5
2025-05-11,18.0,6.1,0.0,2025-05-11,2025,5
2025-05-12,19.0,4.8,0.0,2025-05-12,2025,5
2025-05-13,20.9,5.8,0.0,2025-05-13,2025,5
2025-05-14,22.1,11.1,0.0,2025-05-14,2025,5
2025-05-15,14.6,8.9,0.8,2025-05-15,2025,5
2025-05-16,17.0,8.1,1.6,2025-05-16,2025,5
2025-05-17,16.3,7.8,1.7,2025-05-17,2025,5
2025-05-18,13.9,6.7,2.4,2025-05-18,2025,5
2025-05-19,15.6,10.2,0.7,2025-05-19,2025,5
2025-05-20,22.6,9.3,0.0,2025-05-20,2025,5
2025-05-21,21.4,12.9,0.0,2025-05-21,2025,5
2025-05-22,15.5,8.2,0.2,2025-05-22,2025,5
2025-05-23,11.9,4.9,2.1,2025-05-23,2025,5
2025-05-24,16.8,6.1,0.1,2025-05-24,2025,5
2025-05-25,16.8,11.2,3.1,2025-05-25,2025,5
2025-05-26,19.6,11.7,0.1,2025-05-26,2025,5
2025-05-27,20.2,9.4,0.0,2025-05-27,2025,5
2025-05-28,18.6,12.9,4.6,2025-05-28,2025,5
2025-05-29,18.1,10.3,0.0,2025-05-29,2025,5
2025-05-30,23.2,13.2,3.9,2025-05-30,2025,5
