priority_rank,plz,area_name,urban_heat_risk_index,risk_category,district_type,temperature_change,population_2022,population_density_per_sqkm,pollution_index,no2_avg,pm10_avg,traffic_supply_index,heat_exposure_index,vulnerable_population_score
46,90902,Plänterwald,33.73,Moderate Risk,Suburban (Low Density),4.7,11118,3694,0.34,21.06,18.7,0.0,17.38,5902.87
47,50509,Wilhelmstadt,33.45,Moderate Risk,Suburban (Low Density),4.71,38453,3697,0.34,21.06,18.7,0.0,17.4,5908.07
48,21206,Hermsdorf,33.26,Moderate Risk,Suburban (Low Density),4.6,16429,2693,0.34,21.06,18.7,0.0,12.38,4204.55
49,11102,Karlshorst,33.01,Moderate Risk,Suburban (Low Density),4.76,27527,4171,0.34,21.06,18.7,0.0,19.84,6737.99
50,90901,Altglienicke,32.51,Moderate Risk,Suburban (Low Density),4.72,29905,3790,0.34,21.06,18.7,0.0,17.87,6069.6
51,70706,Lichtenrade,32.33,Moderate Risk,Suburban (Low Density),4.85,50590,5009,0.34,21.06,18.7,0.0,24.28,8245.52
52,30313,Wilhelmsruh,32.04,Moderate Risk,Suburban (Low Density),4.91,7676,5603,0.34,21.06,18.7,0.0,27.52,9345.26
53,90909,Oberschöneweide,32.02,Moderate Risk,Suburban (Low Density),4.72,23416,3789,0.34,21.06,18.7,0.0,17.87,6067.86
54,01001,Mitte,31.99,Moderate Risk,Suburban (Low Density),4.85,97425,4996,0.34,21.06,18.7,0.0,24.21,8221.74
55,90903,Baumschulenweg,31.8,Moderate Risk,Suburban (Low Density),4.73,18813,3903,0.34,21.06,18.7,0.0,18.45,6266.73
56,10102,Märkisches Viertel,30.98,Moderate Risk,Suburban (Low Density),4.86,39341,5096,0.34,21.06,18.7,0.0,24.75,8404.97
57,80802,Britz,30.75,Moderate Risk,Suburban (Low Density),4.66,40252,3246,0.34,21.06,18.7,0.0,15.12,5133.7
58,60602,Lichterfelde,30.49,Moderate Risk,Suburban (Low Density),4.79,81594,4483,0.34,21.06,18.7,0.0,21.47,7293.25
59,21209,Wittenau,30.34,Moderate Risk,Suburban (Low Density),4.73,23435,3972,0.34,21.06,18.7,0.0,18.81,6387.56
60,70703,Tempelhof,29.74,Low Risk,Suburban (Low Density),4.81,57371,4703,0.34,21.06,18.7,0.0,22.64,7689.07
61,50508,Falkenhagener Feld,29.57,Low Risk,Suburban (Low Density),4.89,37362,5431,0.34,21.06,18.7,0.0,26.57,9024.16
62,50504,Staaken,29.44,Low Risk,Suburban (Low Density),4.75,44526,4085,0.34,21.06,18.7,0.0,19.39,6586.19
63,90910,Kreuzberg,29.31,Low Risk,Suburban (Low Density),4.73,137741,3947,0.34,21.06,18.7,0.0,18.68,6343.74
64,80804,Rudow,29.09,Low Risk,Suburban (Low Density),4.68,40736,3452,0.34,21.06,18.7,0.0,16.15,5485.56
65,11112,Rummelsburg,28.89,Low Risk,Suburban (Low Density),4.92,25551,5653,0.34,21.06,18.7,0.0,27.79,9439.01
66,30311,Niederschönhausen,28.83,Low Risk,Suburban (Low Density),4.82,31138,4798,0.34,21.06,18.7,0.0,23.15,7861.09
67,50502,Haselhorst,28.77,Low Risk,Suburban (Low Density),4.72,18049,3816,0.34,21.06,18.7,0.0,18.0,6114.88
68,11110,Alt-Treptow,28.44,Low Risk,Suburban (Low Density),4.89,12472,5399,0.34,21.06,18.7,0.0,26.4,8964.66
69,50501,Spandau,28.4,Low Risk,Suburban (Low Density),4.81,37536,4674,0.34,21.06,18.7,0.0,22.49,7636.69
70,11103,Lichtenberg,27.31,Low Risk,Suburban (Low Density),4.9,39622,5488,0.34,21.06,18.7,0.0,26.88,9130.33
71,10101,Moabit,27.25,Low Risk,Suburban (Low Density),5.07,75771,7081,0.34,21.06,18.7,0.0,35.9,12193.86
72,21201,Reinickendorf,27.16,Low Risk,Suburban (Low Density),5.09,76495,7285,0.34,21.06,18.7,0.0,37.1,12599.61
