plz,area_name,population_2022,population_density_per_sqkm,stop_count,traffic_supply_index,avg_temp_change,avg_tmax,total_precip,no2_avg,pm10_avg,pollution_index,temperature_change,heat_exposure_index,absolute_heat_impact,pollution_heat_interaction,no2_heat_score,traffic_pollution_score,population_pollution_burden,vulnerable_population_score,heat_precip_ratio,climate_vulnerability_score,urban_intensity_score,environmental_stress_score,socio_environmental_score,climate_vulnerability_score_norm,urban_intensity_score_norm,environmental_stress_score_norm,socio_environmental_score_norm,urban_heat_risk_index,risk_category,priority_rank,cluster,district_type
10101,Moabit,75771,7081,,0.0,6.152150537634409,23.165564516129038,249.48333333333332,21.062051971326166,18.696558144165667,0.3396306412679743,5.0703731294036904,35.90331212930753,38.41872423880471,1.7220540774072812,106.79246236551622,,25734.15331951568,12193.864922120958,0.0924834567148674,0.7536514061291242,-0.16429773879813425,-1.4161447241629702e-15,2.3874305534171036e-18,17.105635166360603,4.536535039278768,37.03496429035109,72.44069568924705,27.24595149402073,Low Risk,71,0,Suburban (Low Density)
10102,Märkisches Viertel,39341,5096,,0.0,6.152150537634409,23.165564516129038,249.48333333333332,21.062051971326166,18.696558144165667,0.3396306412679743,4.856239886948766,24.747398463890914,19.104933339245143,1.6493278669555247,102.28237688414202,,13361.409058123378,8404.974810005355,0.0924834567148674,-0.07163510677225034,-0.08535208690075956,-1.1134183638177558e-16,5.078907878971241e-19,12.037607104715544,9.117850222000943,59.061399720712046,64.80042365225096,30.978038520166333,Moderate Risk,56,0,Suburban (Low Density)
10103,Hansaviertel,5629,10621,,0.0,6.152150537634409,23.165564516129038,249.48333333333332,21.062051971326166,18.696558144165667,0.3396306412679743,5.452253068089045,57.90837983617375,3.0690732520273234,1.8517522058703628,114.83563748091402,,1911.7808796974275,19667.460178549125,0.0924834567148674,2.2802936928954756,-0.23766446559192556,-1.4435831511568262e-15,-9.113623007488105e-18,26.48064109275754,0.2789718766620383,36.571774987085085,25.689262423844163,22.334300461978543,Low Risk,88,2,Mixed Urban (Medium Density)
10104,Tiergarten,13696,2649,,0.0,6.152150537634409,23.165564516129038,249.48333333333332,21.062051971326166,18.696558144165667,0.3396306412679743,4.592268076224737,12.164918133919329,6.2895703571974,1.5596749516026545,96.72258888770746,,4651.581262806177,4131.578946795432,0.0924834567148674,-1.0585911631983067,0.04935358055654493,1.1639133237803442e-16,7.68893016244564e-18,5.976777427524937,16.934989034447636,62.9057734449068,93.99113051380667,36.15073229654334,Moderate Risk,28,0,Suburban (Low Density)
10105,Wedding,78099,8461,,0.0,6.152150537634409,23.165564516129038,249.48333333333332,21.062051971326166,18.696558144165667,0.3396306412679743,5.219241580077642,44.160003009036934,40.76175481624838,1.7726143647742452,109.9279374105018,,26524.813452387527,14998.090140354889,0.0924834567148674,1.3404242719432726,-0.2031738840488359,-1.1515124771938411e-15,-3.1766145537759603e-18,20.70896722531232,2.280503577099216,41.50223299065942,49.823021392097324,25.66727587961357,Low Risk,78,2,Mixed Urban (Medium Density)
10106,Gesundbrunnen,86701,14144,,0.0,6.152150537634409,23.165564516129038,249.48333333333332,21.062051971326166,18.696558144165667,0.3396306412679743,5.8322991200632,82.4920387541739,50.56661660085995,1.980827490213707,122.84018717909099,,29446.31622857464,28016.824021582674,0.0924834567148674,3.86938236166057,-0.2249011701125353,-3.1194520936961126e-15,-3.829421829332183e-18,36.23912598236355,1.019641919355604,8.28135702567191,47.16937965251967,22.08435077796207,Low Risk,91,2,Mixed Urban (Medium Density)
20201,Friedrichshain,126291,12913,,0.0,6.152150537634409,23.165564516129038,249.48333333333332,21.062051971326166,18.696558144165667,0.3396306412679743,5.699504147034479,73.59769705065622,71.97960782331313,1.9357262483667992,120.04325255562921,,42892.29331637375,24996.033045160475,0.0924834567148674,3.3062139797352583,-0.23908714145596954,-2.6233689328314045e-15,-2.230028340610022e-18,32.78074744544226,0.196412212141061,16.65575887073299,53.67086558658125,23.736934214610493,Low Risk,83,2,Mixed Urban (Medium Density)
20202,Köpenick,67140,6456,,0.0,6.152150537634409,23.165564516129038,249.48333333333332,21.062051971326166,18.696558144165667,0.3396306412679743,5.002950823844835,32.299050518742256,33.58981183129422,1.6991553965345618,105.37241026180898,,22802.801254731796,10969.74724002713,0.0924834567148674,0.49141688653632315,-0.14237095630584146,-8.252412054534395e-16,-2.265669991942635e-18,15.495270907097408,5.808973724955494,47.01003280247043,53.525983356886265,26.656993952873513,Low Risk,74,0,Suburban (Low Density)
30301,Prenzlauer Berg,159369,14488,,0.0,6.152150537634409,23.165564516129038,249.48333333333332,21.062051971326166,18.696558144165667,0.3396306412679743,5.8694083570427935,85.035988276836,93.54017404535529,1.9934309241660515,123.62178385697145,,54126.5956682358,28880.827229317754,0.0924834567148674,4.028277752631235,-0.21906921544962663,-2.1937380267864426e-15,-8.193925033021375e-18,37.21489171670753,1.3580775621046557,23.908377254325764,29.42780674501532,23.755996816707537,Low Risk,82,2,Mixed Urban (Medium Density)
30302,Weißensee,54380,6858,,0.0,6.152150537634409,23.165564516129038,249.48333333333332,21.062051971326166,18.696558144165667,0.3396306412679743,5.046316850780292,34.60764096265124,27.44187103454323,1.713883828071895,106.28578777491349,,18469.114272152445,11753.815292917057,0.0924834567148674,0.6598347408047003,-0.15678329479912775,-2.0881204885102366e-15,2.400090582099034e-19,16.529513437625937,4.972607648155519,25.69131160321467,63.711492560662585,23.00803340011101,Low Risk,84,0,Suburban (Low Density)
