date,pm10,pm25,no2,no,nox,o3,co,toluene,carbon_monoxide,sulfur_dioxide
2020-06-06,11.0,6.0,16.0,7.0,26.0,61.0,0.4,1.3,0.2,
2020-06-07,12.0,8.0,18.0,5.0,26.0,50.0,0.5,1.5,0.2,
2020-06-08,15.0,7.0,25.0,11.0,43.0,65.0,,,0.2,
2020-06-09,14.0,7.0,13.0,3.0,17.0,77.0,,,0.2,
2020-06-10,15.0,9.0,10.0,2.0,13.0,81.0,0.4,0.8,0.2,
2020-06-11,28.0,21.0,17.0,4.0,24.0,44.0,0.5,1.3,0.2,
2020-06-12,20.0,14.0,13.0,4.0,19.0,64.0,0.4,0.9,0.2,
2020-06-13,27.0,18.0,13.0,2.0,17.0,71.0,0.5,1.1,0.2,
2020-06-14,21.0,13.0,7.0,1.0,8.0,64.0,0.3,0.8,0.2,
2020-06-15,18.0,8.0,12.0,4.0,18.0,67.0,0.3,0.9,0.2,
2020-06-16,20.0,10.0,27.0,9.0,40.0,69.0,0.6,1.9,0.2,
2020-06-17,24.0,11.0,23.0,5.0,31.0,84.0,0.6,1.7,0.2,
2020-06-18,23.0,12.0,13.0,2.0,16.0,86.0,0.3,0.8,0.2,
2020-06-19,20.0,13.0,24.0,9.0,37.0,66.0,0.5,1.4,0.2,
2020-06-20,15.0,10.0,14.0,4.0,20.0,64.0,0.4,0.9,0.2,
2020-06-21,13.0,8.0,10.0,2.0,12.0,64.0,0.3,0.9,0.2,
2020-06-22,15.0,7.0,28.0,12.0,47.0,57.0,0.6,2.0,0.2,
2020-06-23,13.0,6.0,13.0,3.0,18.0,64.0,0.3,0.9,0.2,
2020-06-24,18.0,9.0,14.0,3.0,19.0,69.0,0.3,1.0,0.2,
2020-06-25,25.0,13.0,30.0,13.0,49.0,61.0,0.8,2.0,0.3,
2020-06-26,,,28.0,9.0,41.0,70.0,0.7,1.9,0.3,
