,plz,stop_count,traffic_supply_index
0,10115,156,0.2591362126245847
1,10117,602,1.0
2,10119,84,0.13953488372093023
3,10178,399,0.6627906976744186
4,10179,238,0.3953488372093023
5,10243,310,0.5149501661129569
6,10245,234,0.38870431893687707
7,10247,66,0.10963455149501661
8,10249,114,0.1893687707641196
9,10315,106,0.1760797342192691
10,10317,253,0.420265780730897
11,10318,125,0.20764119601328904
12,10319,94,0.15614617940199335
13,10365,141,0.23421926910299004
14,10367,95,0.15780730897009967
15,10369,66,0.10963455149501661
16,10405,186,0.3089700996677741
17,10407,164,0.2724252491694352
18,10409,123,0.20431893687707642
19,10435,54,0.08970099667774087
20,10437,58,0.09634551495016612
21,10439,159,0.26411960132890366
22,10551,91,0.1511627906976744
23,10553,36,0.059800664451827246
24,10555,41,0.0681063122923588
25,10557,442,0.7342192691029901
26,10559,57,0.0946843853820598
27,10585,71,0.11794019933554817
28,10587,37,0.061461794019933555
29,10589,126,0.20930232558139536
30,10623,183,0.30398671096345514
31,10625,44,0.07308970099667775
32,10627,137,0.22757475083056478
33,10629,31,0.05149501661129568
34,10707,117,0.19435215946843853
35,10709,42,0.06976744186046512
36,10711,29,0.04817275747508306
37,10713,67,0.11129568106312292
38,10715,170,0.2823920265780731
39,10717,52,0.08637873754152824
40,10719,109,0.18106312292358803
41,10777,55,0.09136212624584718
42,10779,41,0.0681063122923588
43,10781,10,0.016611295681063124
44,10783,66,0.10963455149501661
45,10785,125,0.20764119601328904
46,10787,21,0.03488372093023256
47,10789,75,0.12458471760797342
48,10823,36,0.059800664451827246
49,10825,38,0.06312292358803986
50,10827,107,0.1777408637873754
51,10829,42,0.06976744186046512
52,10961,109,0.18106312292358803
53,10963,185,0.3073089700996678
54,10965,103,0.17109634551495018
55,10967,101,0.16777408637873753
56,10969,153,0.2541528239202658
57,10997,74,0.12292358803986711
58,10999,98,0.16279069767441862
59,12043,56,0.09302325581395349
60,12045,11,0.018272425249169437
61,12047,7,0.011627906976744186
62,12049,46,0.07641196013289037
63,12051,93,0.15448504983388706
64,12053,8,0.013289036544850499
65,12055,65,0.1079734219269103
66,12057,66,0.10963455149501661
67,12059,33,0.054817275747508304
68,12099,139,0.23089700996677742
69,12101,153,0.2541528239202658
70,12103,40,0.0664451827242525
71,12105,62,0.10299003322259136
72,12107,98,0.16279069767441862
73,12109,69,0.11461794019933555
74,12157,55,0.09136212624584718
75,12159,36,0.059800664451827246
76,12161,106,0.1760797342192691
77,12163,91,0.1511627906976744
78,12165,121,0.2009966777408638
79,12167,22,0.036544850498338874
80,12169,63,0.10465116279069768
81,12203,45,0.07475083056478406
82,12205,60,0.09966777408637874
83,12207,106,0.1760797342192691
84,12209,75,0.12458471760797342
85,12247,62,0.10299003322259136
86,12249,37,0.061461794019933555
87,12277,101,0.16777408637873753
88,12279,26,0.04318936877076412
89,12305,36,0.059800664451827246
90,12307,106,0.1760797342192691
91,12309,35,0.05813953488372093
92,12347,35,0.05813953488372093
93,12349,57,0.0946843853820598
94,12351,72,0.11960132890365449
95,12353,93,0.15448504983388706
96,12355,120,0.19933554817275748
97,12357,43,0.07142857142857142
98,12359,119,0.19767441860465115
99,12435,95,0.15780730897009967
100,12437,85,0.14119601328903655
101,12439,69,0.11461794019933555
102,12459,106,0.1760797342192691
103,12487,224,0.37209302325581395
104,12489,122,0.2026578073089701
105,12524,97,0.1611295681063123
106,12526,72,0.11960132890365449
107,12527,168,0.27906976744186046
108,12555,251,0.4169435215946844
109,12557,79,0.13122923588039867
110,12559,57,0.0946843853820598
111,12587,156,0.2591362126245847
112,12589,102,0.16943521594684385
113,12619,128,0.21262458471760798
114,12621,78,0.12956810631229235
115,12623,239,0.39700996677740863
116,12627,190,0.31561461794019935
117,12629,59,0.09800664451827243
118,12679,104,0.17275747508305647
119,12681,283,0.4700996677740864
120,12683,174,0.28903654485049834
121,12685,71,0.11794019933554817
122,12687,55,0.09136212624584718
123,12689,97,0.1611295681063123
124,13051,94,0.15614617940199335
125,13053,229,0.3803986710963455
126,13055,87,0.14451827242524917
127,13057,40,0.0664451827242525
128,13059,86,0.14285714285714285
129,13086,63,0.10465116279069768
130,13088,195,0.3239202657807309
131,13089,71,0.11794019933554817
132,13125,152,0.25249169435215946
133,13127,167,0.27740863787375414
134,13129,57,0.0946843853820598
135,13156,92,0.15282392026578073
136,13158,115,0.19102990033222592
137,13159,25,0.04152823920265781
138,13187,173,0.287375415282392
139,13189,107,0.1777408637873754
140,13347,83,0.1378737541528239
141,13349,58,0.09634551495016612
142,13351,8,0.013289036544850499
143,13353,210,0.3488372093023256
144,13355,62,0.10299003322259136
145,13357,196,0.32558139534883723
146,13359,165,0.27408637873754155
147,13403,65,0.1079734219269103
148,13405,55,0.09136212624584718
149,13407,168,0.27906976744186046
150,13409,136,0.22591362126245848
151,13435,74,0.12292358803986711
152,13437,137,0.22757475083056478
153,13439,40,0.0664451827242525
154,13465,70,0.11627906976744186
155,13467,78,0.12956810631229235
156,13469,61,0.10132890365448505
157,13503,78,0.12956810631229235
158,13505,32,0.053156146179401995
159,13507,65,0.1079734219269103
160,13509,44,0.07308970099667775
161,13581,37,0.061461794019933555
162,13583,34,0.05647840531561462
163,13585,29,0.04817275747508306
164,13587,46,0.07641196013289037
165,13589,63,0.10465116279069768
166,13591,92,0.15282392026578073
167,13593,42,0.06976744186046512
168,13595,41,0.0681063122923588
169,13597,265,0.44019933554817275
170,13599,117,0.19435215946843853
171,13627,110,0.18272425249169436
172,13629,99,0.1644518272425249
173,14050,12,0.019933554817275746
174,14052,56,0.09302325581395349
175,14053,32,0.053156146179401995
176,14055,198,0.3289036544850498
177,14057,93,0.15448504983388706
178,14059,57,0.0946843853820598
179,14089,90,0.14950166112956811
180,14109,137,0.22757475083056478
181,14129,94,0.15614617940199335
182,14163,87,0.14451827242524917
183,14165,34,0.05647840531561462
184,14167,49,0.08139534883720931
185,14169,91,0.1511627906976744
186,14193,122,0.2026578073089701
187,14195,153,0.2541528239202658
188,14197,48,0.07973421926910298
189,14199,35,0.05813953488372093
