district,mean_lst_intensity,thermal_anomaly
Mitte,222.0,High
Friedrichshain-Kreuzberg,222.0,High
Pankow,187.56,High
Charlottenburg-Wilmersdorf,222.0,High
Spandau,222.0,High
Steglitz-Zehlendorf,238.0,High
Tempelhof-Schöneberg,245.0,High
Neukölln,221.25,High
Treptow-Köpenick,222.0,High
Marzahn-Hellersdorf,218.0,High
Lichtenberg,222.0,High
Reinickendorf,216.0,High
