avg_lst,max_lst,centroid_lon,centroid_lat
222.32,255,13.64208085642839,52.34596646631405
228.98,255,13.65308777449298,52.34609246256378
220.7,223,13.647346691732398,52.35381335523162
244.43,255,13.658355582798531,52.35393887398777
220.77,223,13.641603588018063,52.36153394531043
226.62,255,13.652614371824637,52.361660011921465
255.0,255,13.663625236657229,52.36178505290598
221.58,222,13.646871139295738,52.36938084732962
243.89,255,13.657883897915502,52.36950643618561
255.0,255,13.668896737279765,52.369630999120254
255.0,255,13.679909656727006,52.36975453611639
174.81,255,13.690922655595667,52.36987704715697
207.54,222,13.608082418086038,52.37671681189759
226.12,255,13.65214053701745,52.37722751700323
254.99,255,13.66315527121627,52.37735262782589
255.0,255,13.674170085877709,52.377476712432326
247.11,255,13.685184980339821,52.37759977080543
120.82,255,13.696199953940638,52.37772180292822
221.33,223,13.393036505020936,52.38177486733784
221.54,223,13.404051092611969,52.38192413063338
221.3,223,13.415065776270241,52.38207236786943
205.95,223,13.602329455560607,52.384435394517496
221.6,223,13.613345755268563,52.38456515932357
220.86,222,13.624362138468204,52.38469389770587
219.61,222,13.635378604497328,52.38482160964661
220.24,223,13.6463951526937,52.384948295128176
242.24,255,13.657411782395053,52.385073954133105
255.0,255,13.668428492939096,52.38519858664404
255.0,255,13.679445283663503,52.38532219264379
188.34,255,13.69046215390591,52.38544477211531
207.84,223,13.376229212198059,52.38933180663085
221.7,223,13.38724558998317,52.38948265108522
221.4,223,13.398262064886788,52.38963246922483
221.76,223,13.409278636247004,52.38978126102901
221.62,223,13.42029530340188,52.389929026477226
218.67,223,13.54148477520172,52.391486701185116
221.84,223,13.552502540248058,52.39162214881214
221.42,223,13.563520392480598,52.39175656982922
222.22,223,13.574538331236912,52.39188996421779
221.81,223,13.585556355854537,52.39202233195946
221.9,223,13.596574465670985,52.39215367303593
194.65,223,13.607592660023728,52.392283987429124
221.94,223,13.61861093825021,52.39241327512101
222.04,223,13.629629299687844,52.39254153609377
221.29,223,13.640647743674005,52.39266877032971
224.84,255,13.651666269546046,52.39279497781128
254.83,255,13.662684876641283,52.39292015852103
255.0,255,13.673703564297002,52.3930443124417
250.33,255,13.684722331850459,52.39316743955616
140.67,255,13.69574117863888,52.393289539847416
208.27,222,13.370434368361854,52.39703872501933
220.69,223,13.381452633727605,52.397190124889455
221.95,222,13.392470996602047,52.397340498168894
221.82,223,13.403489456322893,52.3974898448369
215.03,223,13.414508012227818,52.39763816487287
221.28,223,13.480621330428237,52.398506524679505
221.02,222,13.49164054107357,52.398647657725995
220.1,222,13.546737944309587,52.3993379206964
222.07,223,13.557757690319674,52.39947289270469
221.61,223,13.56877752323757,52.39960683780725
221.99,223,13.579797442400427,52.39973975598561
221.34,222,13.590817447145367,52.399871647221374
220.74,222,13.601837536809484,52.40000251149638
219.39,223,13.612857710729827,52.40013234879255
199.61,223,13.623877968243423,52.40026115909198
203.4,222,13.63489830868727,52.40038894237685
220.33,223,13.645918731398323,52.40051569862955
240.38,255,13.656939235713518,52.400641427832575
255.0,255,13.667959820969749,52.40076612996856
255.0,255,13.678980486503889,52.400889805020306
200.78,255,13.690001231652774,52.40101245297073
147.97,154,13.701022055753214,52.4011340738029
196.95,255,13.712042958141986,52.401254667500034
255.0,255,13.72306393815584,52.40137423404548
209.27,223,13.122220211372731,52.401142556827224
214.25,222,13.133238043613671,52.4013170979184
221.11,223,13.144255988322893,52.401490612637026
199.83,223,13.155274044838597,52.401663100959155
206.1,222,13.309538205032966,52.403970152764884
215.84,223,13.320557859201932,52.4041272423625
220.14,223,13.353617426331587,52.40459235050712
213.57,223,13.364637481373983,52.40474533293461
212.01,223,13.375657634978337,52.40489728851641
221.84,223,13.386677886482012,52.40504821723157
221.76,223,13.397698235222336,52.40519811905923
219.57,222,13.408718680536603,52.405346993978725
221.78,223,13.485864446131602,52.40636036327781
220.99,222,13.496885640175522,52.40650102220395
221.65,223,13.507906924827381,52.40664065404205
222.09,223,13.518928299424116,52.406779258772836
221.14,223,13.52994976330263,52.40691683637717
221.51,222,13.540971315799789,52.40705338683606
220.66,223,13.55199295625243,52.40718891013066
221.27,223,13.56301468399735,52.40732340624223
221.7,223,13.574036498371322,52.40745687515222
221.73,223,13.585058398711078,52.40758931684221
221.65,223,13.596080384353321,52.40772073129392
221.71,223,13.607102454634722,52.40785111848917
221.62,223,13.618124608891918,52.40798047840998
211.57,223,13.629146846461515,52.408108811038495
209.58,223,13.640169166680087,52.40823611635698
221.25,255,13.65119156888418,52.408362394347854
254.53,255,13.662214052410302,52.408487644993706
255.0,255,13.673236616594936,52.40861186827721
253.59,255,13.684259260774535,52.40873506418123
159.38,255,13.695281984285518,52.40885723268874
156.44,255,13.706304786464274,52.40897837378289
249.07,255,13.717327666647162,52.40909848744694
255.0,255,13.728350624170517,52.409217573664286
198.66,223,13.116379823943825,52.40883655219757
220.93,223,13.12739953638117,52.40901165534805
220.82,222,13.138419361686267,52.40918573185179
219.55,222,13.149439299196944,52.40935878168475
219.78,223,13.16045934825097,52.40953080482304
201.4,222,13.171479508186092,52.40970180124293
201.28,222,13.259644699901033,52.411032807936834
204.62,222,13.270665827957288,52.41119456284592
220.81,222,13.281687060269736,52.41135529080695
199.28,223,13.303729835012316,52.411673665796194
208.13,222,13.314751376116908,52.41183131278044
220.16,222,13.325773018826611,52.41198793272873
221.32,222,13.336794762478554,52.41214352561942
218.75,223,13.347816606409838,52.41229809143102
195.25,223,13.358838549957513,52.4124516301422
207.75,222,13.3698605924586,52.412604141731755
205.72,223,13.380882733250083,52.41275562617865
202.05,223,13.3919049716689,52.41290608346195
221.63,223,13.402927307051964,52.41305551356087
208.52,223,13.413949738736141,52.413203916454805
221.71,223,13.424972266058267,52.413351292123245
221.47,223,13.480086314024762,52.414072761375806
221.88,223,13.491109401246066,52.41421397326892
221.45,223,13.502132579462153,52.41435415779706
222.35,223,13.51315584800957,52.41449331494088
221.7,223,13.524179206224835,52.414631444681135
221.44,223,13.535202653444431,52.414768546998786
221.94,223,13.546226189004805,52.41490462187489
221.52,222,13.557249812242372,52.41503966929065
221.1,223,13.568273522493513,52.4151736892274
220.97,222,13.579297319094579,52.415306681666664
221.87,223,13.590321201381885,52.41543864659003
221.9,223,13.60134516869171,52.41556958397933
221.93,223,13.61236922036031,52.41569949381642
220.97,223,13.623393355723904,52.4158283760834
203.16,222,13.634417574118677,52.41595623076244
219.18,223,13.645441874880785,52.4160830578359
238.37,255,13.656466257346352,52.41620885728626
255.0,255,13.667490720851475,52.41633362909613
255.0,255,13.678515264732214,52.4164573732483
211.12,255,13.6895398883246,52.41658008972565
166.11,172,13.700564590964635,52.41670177851126
200.41,255,13.711589371988296,52.416822439588294
255.0,255,13.72261423073152,52.41694207294009
201.14,255,13.099515897086476,52.416353537692
221.98,223,13.110537376438531,52.41653023009587
220.58,222,13.121558969720775,52.41670589560301
220.17,223,13.132580676270694,52.41688053418916
220.73,223,13.143602495425728,52.41705414583019
218.86,223,13.154624426523275,52.41722673050215
220.72,222,13.165646468900693,52.41739828818122
220.4,223,13.176668621895297,52.4175688188437
219.78,222,13.187690884844356,52.417738322466036
205.91,222,13.198713257085103,52.417906799024834
203.74,223,13.209735737954725,52.41807424849684
221.27,223,13.253826734464319,52.41873377505661
221.26,223,13.264849748534724,52.41889608875065
221.88,223,13.275872867256282,52.41905737522129
221.35,223,13.2868960899659,52.41921763444625
220.05,222,13.297919416000443,52.41937686640342
221.39,222,13.308942844696743,52.41953507107079
191.32,223,13.31996637539158,52.419692248426514
218.95,222,13.33099000742171,52.419848398448906
220.76,222,13.342013740123843,52.42000352111638
206.53,222,13.35303757283465,52.42015761640752
212.33,223,13.364061504890767,52.42031068430106
221.53,223,13.375085535628791,52.42046272477584
221.87,222,13.386109664385284,52.42061373781086
221.68,222,13.397133890496768,52.420763723385264
210.69,222,13.408158213299727,52.42091268147836
221.09,222,13.41918263213061,52.42106061206956
221.81,222,13.430207146325833,52.42120751513842
215.01,222,13.441231755221771,52.421353390664656
195.85,223,13.45225645815476,52.42149823862814
221.56,223,13.463281254461112,52.42164205900883
221.11,222,13.474306143477092,52.42178485178688
220.92,238,13.485331124538936,52.42192661694257
226.2,238,13.496356196982841,52.42206735445631
222.55,238,13.507381360144976,52.42220706430866
225.38,238,13.518406613361465,52.42234574648033
224.51,238,13.529431955968409,52.422483400952146
218.21,238,13.540457387301869,52.42262002770511
223.44,238,13.551482906697872,52.42275562672033
222.89,239,13.562508513492414,52.422890197979086
221.93,239,13.573534207021458,52.423023741462785
219.67,222,13.584559986620931,52.42315625715298
221.55,223,13.59558585162673,52.42328774503135
222.1,223,13.606611801374719,52.42341820507976
221.83,222,13.617637835200728,52.42354763728016
221.08,223,13.62866395244056,52.42367604161467
200.53,223,13.63969015242998,52.42380341806557
223.53,255,13.650716434504726,52.423929766615245
253.85,255,13.661742798000502,52.42405508724623
255.0,255,13.672769242252985,52.42417937994122
254.83,255,13.683795766597818,52.42430264468306
175.6,255,13.694822370370611,52.424424881454705
171.62,255,13.705849052906954,52.42454609023925
236.0,255,13.716875813542396,52.42466627101996
217.13,255,13.727902651612462,52.42478542378023
204.87,222,13.115716342350483,52.424399818445714
220.51,223,13.12673993079432,52.42457501941171
220.9,223,13.137763632243258,52.42474919315821
220.3,223,13.14878744603432,52.42492233966118
220.82,223,13.159811371504475,52.4250944588967
220.37,238,13.170835407990662,52.42526555084099
223.75,238,13.181859554829769,52.42543561547044
222.93,237,13.192883811358648,52.42560465276154
224.55,238,13.203908176914103,52.42577266269099
223.89,237,13.214932650832901,52.42593964523554
223.54,237,13.225957232451766,52.42610560037214
224.57,237,13.236981921107384,52.426270528077865
224.8,238,13.2480067161364,52.426434428329955
224.55,238,13.259031616875413,52.426597301105744
220.5,223,13.270056622660988,52.42675914638275
220.86,223,13.281081732829648,52.42691996413861
220.02,222,13.292106946717876,52.42707975435114
220.95,223,13.303132263662118,52.42723851699822
221.26,223,13.314157682998777,52.42739625205797
206.58,222,13.325183204064219,52.427552959508546
214.44,223,13.336208826194774,52.42770863932835
219.85,223,13.34723454872673,52.42786329149585
200.97,222,13.358260370996337,52.42801691598968
221.48,223,13.369286292339808,52.42816951278863
222.02,223,13.380312312093322,52.42832108187161
221.3,223,13.391338429593015,52.4284716232177
221.01,223,13.402364644174988,52.42862113680608
221.35,237,13.413390955175304,52.428769622616095
220.23,223,13.424417361929994,52.42891708062724
200.88,223,13.435443863775049,52.429063510819134
209.11,223,13.446470460046422,52.42920891317156
221.33,223,13.457497150080032,52.42935328766442
